TeamName,TeamID,Round1,Round2,Sweet16,Elite8,Final4,Final,Champ
Abilene Chr,1101,1.0,0.20854216120177352,0.05175955052257019,0.008573954635664,0.0010594186363741373,8.08535416170323e-05,9.455487045983586e-06
Alabama,1104,1.0,0.9568087037277428,0.5886749982194649,0.37932212231555806,0.16331007462006175,0.0484771769815399,0.020679615316811617
Appalachian St,1111,0.466058869297191,0.0029978041208831626,0.00022129002588348076,1.0362185691776134e-05,3.1939754182003916e-07,8.729286487256548e-09,2.0053950085858766e-10
Arkansas,1116,1.0,0.7875233396174001,0.4348621037329944,0.19457148564957177,0.07155892762088782,0.0240825405038638,0.005740485785354218
BYU,1140,1.0,0.655655958641951,0.3661535267604551,0.15946488729961011,0.05184802155559756,0.0111460048931029,0.003608674047692604
Baylor,1124,1.0,0.9791984906524596,0.6940862390302766,0.4913695188533002,0.33910814827830443,0.18846109727332602,0.0804528975685157
Clemson,1155,1.0,0.4246235837167066,0.0806399457406955,0.030390111569860132,0.007038310644702568,0.001828850675385463,0.0002696295262574477
Cleveland St,1156,1.0,0.03235524740968815,0.004092069395013718,0.00038735511438117736,2.0099813968263734e-05,1.1519112985415135e-06,3.470902629756368e-08
Colgate,1159,1.0,0.21247666038259994,0.05139977229950411,0.009404947808989147,0.0013179911544202699,0.00016104661737488646,1.3002500754821083e-05
Colorado,1160,1.0,0.7032282030095565,0.3733756669501552,0.11324638092719494,0.05543117807625398,0.012673305959870578,0.0043429626462688055
Connecticut,1163,1.0,0.5800985305127616,0.25816928266452666,0.14678361076231408,0.05174918017826711,0.01204809935848678,0.0041977536725920995
Creighton,1166,1.0,0.7386048256123425,0.3719058165510628,0.06396482025917676,0.0245379053860642,0.009007054297979631,0.00299902150079218
Drake,1179,0.5774981079113626,0.15705643882031473,0.05643742060623902,0.012075723660519998,0.0013977103019318152,0.00029911422359795044,5.600487277629981e-05
Drexel,1180,1.0,0.02696204392417948,0.0020391761672393254,0.00022643304223243766,1.3990399356692906e-05,8.24767310155818e-07,2.5831356647292463e-08
E Washington,1186,1.0,0.1405716631622377,0.023945466990628442,0.0024118096637685176,0.0001246759689455823,1.2089943039834028e-05,9.96466112924116e-07
Florida,1196,1.0,0.5546977628542441,0.16494669640001833,0.07070208315729612,0.01967987807068028,0.004809709671755685,0.0008131146529961349
Florida St,1199,1.0,0.8357734029698066,0.4869693072667802,0.15224730988602267,0.07698783643756006,0.018237383247710563,0.00643769541535584
Georgetown,1207,1.0,0.29677179699044354,0.10325241597278122,0.015969029971803463,0.004519833808785572,0.0005185685844087141,9.188426336265318e-05
Georgia Tech,1210,1.0,0.3327327991511373,0.065682065893004,0.031007080399166845,0.009840969503595628,0.003124813379774937,0.00058044397757114
Gonzaga,1211,1.0,0.9928151865690107,0.9132230366105211,0.7894097165852562,0.6165344587560773,0.4722732485388284,0.3528920623932581
Grand Canyon,1213,1.0,0.06137528123281445,0.013547489713991029,0.002186372822289947,0.00012268535142694138,1.2472226476823577e-05,1.0670728210943594e-06
Hartford,1216,1.0,0.020801509347540437,0.0009773184638591685,5.169029969258496e-05,2.5297916630322112e-06,7.400225336719858e-08,1.4419763198540675e-09
Houston,1222,1.0,0.9676447525903118,0.7731022224216298,0.5666239079260066,0.3129833958122656,0.1896370149540931,0.08017822537990532
Illinois,1228,1.0,0.9730379560758206,0.7098322525415682,0.5591701388430113,0.3695536900230663,0.2419345366223197,0.114063941998014
Iona,1233,1.0,0.04319129627225715,0.002967199374011156,0.00023924971300984095,9.238133366664216e-06,2.1215763037214686e-07,7.615629308319577e-09
Iowa,1234,1.0,0.9386247187671856,0.7523176606361841,0.5377613036545007,0.20625815286526034,0.1191817990974457,0.06665695035450696
Kansas,1242,1.0,0.8594283368377623,0.4434361771180891,0.16505934827093133,0.035401337953809175,0.012833097780435891,0.004320298441358194
LSU,1261,1.0,0.4469361449636937,0.0910257731738724,0.04389341420961224,0.018980621434964717,0.003907013883045348,0.00117660301864001
Liberty,1251,1.0,0.20970514195619008,0.04607611301316099,0.004259253124282716,0.0005626008845288391,6.942313877321293e-05,4.874354586394592e-06
Loyola-Chicago,1260,1.0,0.6672672008488627,0.2224465053981885,0.13850349906657522,0.06520892921770216,0.03000540580294753,0.008993810480316309
Maryland,1268,1.0,0.4199014694872384,0.15018851974199732,0.0713234747078972,0.020176178333749066,0.0038475855353379933,0.0010780986767452135
Michigan,1276,1.0,0.9871993433561977,0.7700956684739998,0.5994828509882758,0.4463585666405901,0.20740466738101188,0.12726638383286867
Michigan St,1277,0.4268244791062814,0.13428826751090275,0.04923440895019702,0.012950124549956917,0.0025494686301109713,0.00031309730823093966,5.741141900644419e-05
Missouri,1281,1.0,0.4390403498038584,0.034578796860337914,0.011623895102962988,0.0029191354828780798,0.0006826100425882216,0.00013937124958357785
Morehead St,1287,1.0,0.11314490105652708,0.01447719723566776,0.001103432703975512,8.067129964229149e-05,6.159573607815142e-06,2.699058430336305e-07
Mt St Mary's,1291,0.515818351143743,0.007001935652646416,0.00031080520835644786,1.5272111508951536e-05,5.993285293817901e-07,9.007659415921247e-09,2.0401201814052557e-10
Norfolk St,1313,0.533941130702809,0.004187009310106139,0.0003498771547682199,1.825062502045227e-05,6.469352333340448e-07,2.0534906321020674e-08,5.399825677239698e-10
North Carolina,1314,1.0,0.4072304743603519,0.10912527478028927,0.048441836666043875,0.02077943631172,0.006633646438794415,0.0015060022947042855
North Texas,1317,1.0,0.20616405417632927,0.053866229951084366,0.007856374517445449,0.0017362802524043442,0.0002624479255628112,2.6843178220181523e-05
Ohio,1325,1.0,0.18761996624720026,0.05479527001593069,0.003986163332811141,0.0006944197589573682,0.00011147181817218274,1.5358031871417205e-05
Ohio St,1326,1.0,0.946724780359012,0.7081709510540024,0.4647193862000979,0.22903597032725234,0.10613494914922623,0.03668688258957488
Oklahoma,1328,1.0,0.5609596501961416,0.051626999348489355,0.01948709805859337,0.005544750545889713,0.0014747324839514682,0.0003492727339602066
Oklahoma St,1329,1.0,0.79029485804381,0.37744949936790056,0.0985638670287436,0.03305726303494362,0.010907668785289888,0.002207223066691205
Oral Roberts,1331,1.0,0.053275219640988025,0.007242817764056123,0.0007110024944626316,3.80725464282682e-05,1.885015391627657e-06,6.087786571167454e-08
Oregon,1332,1.0,0.537746159532805,0.1343906990415537,0.05559823523616901,0.009012425720043162,0.0026113456741717342,0.0006782567137690441
Oregon St,1333,1.0,0.19996165476983427,0.06701776771418072,0.007745686989688112,0.0012248772654006213,0.00018657136875297093,1.6293920693637823e-05
Purdue,1345,1.0,0.7938359458236708,0.4229912076473098,0.15650457947724497,0.07917975508226754,0.029837573798362063,0.00812239444806155
Rutgers,1353,1.0,0.5753764162832934,0.14216576244266088,0.06165860727934858,0.018014671005007345,0.005700469830916597,0.0010912330844036543
San Diego St,1361,1.0,0.6346643688896495,0.3536552908169073,0.13280963734418005,0.04912180672082404,0.019672341932346748,0.004946737333330268
St Bonaventure,1382,1.0,0.5530638550363063,0.13832534012270672,0.07169796426693484,0.03378219795598769,0.00774122909899279,0.0026130108678469495
Syracuse,1393,1.0,0.3653356311103505,0.1518877590292382,0.03878202525359487,0.009686366099087738,0.0026170481932183505,0.00042027234528420007
TX Southern,1411,0.48418164885625703,0.005798720991155855,0.0002424130210646173,1.057360237615774e-05,3.7696480551319754e-07,5.052664720820497e-09,1.0537487403414761e-10
Tennessee,1397,1.0,0.8000383452301657,0.5094566199047578,0.1605240415062999,0.06470865556156243,0.025494163093413534,0.00629414251504946
Texas,1400,1.0,0.7914578387982265,0.4402951243779036,0.19273115119460468,0.06591845401454721,0.014807169105045396,0.0049202798269951525
Texas Tech,1403,1.0,0.6166616015948627,0.3463458198868071,0.15832833211015807,0.05874559576112262,0.020354790319440676,0.004986629718272605
UC Santa Barbara,1364,1.0,0.26139517438765747,0.07138100398752352,0.005907546339332971,0.00115262066468455,0.00020612917352138662,3.250206404537621e-05
UCLA,1417,0.5731755208937186,0.21005577384714624,0.09255738938887416,0.028611424821385144,0.006735437485395217,0.000997907729738162,0.00022467384367988607
UNC Greensboro,1422,1.0,0.16422659703019338,0.036402609810283315,0.003437204036271057,0.0005833177650534677,3.941031572769428e-05,4.121193750486465e-06
USC,1425,1.0,0.7476498505910888,0.4467271213008826,0.18204373750591643,0.043199372127094966,0.017688223055815876,0.006656659364845101
Utah St,1429,1.0,0.3833383984051373,0.16739230408069444,0.05633509965061698,0.014683166212666725,0.003560613524271856,0.0005907279911352747
VCU,1433,1.0,0.462253840467195,0.09974415060827119,0.037603716839927595,0.005206386572433726,0.0013174095461101069,0.00029659640959367494
Villanova,1437,1.0,0.8317810924362392,0.48488027851747134,0.18398361409734357,0.09615381350027744,0.03755356052071633,0.010559158830363782
Virginia,1438,1.0,0.8123800337527998,0.501917909445483,0.10559214751115449,0.04740105452888738,0.019965834325467717,0.00777351920950772
Virginia Tech,1439,1.0,0.4453022371457559,0.1196395347819231,0.045227662928807366,0.010744229132579003,0.002325520330604683,0.0003427075776378156
West Virginia,1452,1.0,0.8868550989434729,0.4799797529181868,0.16824492280865302,0.05888370271434597,0.02232953057032825,0.00521798111191755
Wichita St,1455,0.4225018920886374,0.09529371058859641,0.02945381398416075,0.00525975234597638,0.0004919416828405961,8.36393663832264e-05,1.2538350944862815e-05
Winthrop,1457,1.0,0.1682189075637608,0.03826228388413441,0.004200583228519174,0.0007663020530125732,9.124508039847576e-05,7.094732931089595e-06
Wisconsin,1458,1.0,0.5927695256396481,0.195811167725575,0.10759180286041012,0.056469903904313286,0.022213325228880327,0.006277748847441798
