TeamName,TeamID,Elite8,Final4,Final,Champ
Boise St,1129,0.4797822043785893,0.2149267234237564,0.10981056361944212,0.054189815548454943
Buffalo,1138,0.4535456902735928,0.20714150402792852,0.08608426330985096,0.038313641870221765
Colorado St,1161,0.5464543097264072,0.26628859643503255,0.11854025308711764,0.05631050766772802
Davidson,1172,0.477572117030511,0.24984744719345536,0.10961890814777056,0.051362271752325
Dayton,1173,0.30986909952931585,0.12650956707607158,0.056203464136245676,0.022827375897090867
Louisiana Tech,1256,0.3385190134056978,0.1662599929751393,0.06467816263422174,0.02563459435344209
Memphis,1272,0.6901309004706841,0.40736205937220593,0.2547010063907468,0.14953620729666411
Mississippi,1279,0.6614809865943022,0.42226481595877585,0.22683452205765098,0.1251550628324018
Mississippi St,1280,0.35707577598293466,0.15509980016722788,0.07237417034971229,0.030949425758740205
NC State,1301,0.522427882969489,0.27672245234358367,0.12766242809235265,0.06208303630878679
Richmond,1350,0.5194605603859663,0.24856992230550054,0.13235590991887147,0.06585962265314725
SMU,1374,0.5202177956214107,0.2512016501279661,0.1373791132164737,0.07051734159762475
St Louis,1387,0.6429242240170654,0.37342371766042787,0.22185795526455415,0.12529531270917404
St Mary's CA,1388,0.5509403464856153,0.24237145988775277,0.1053614846656041,0.04570123948252381
Toledo,1405,0.48053943961403367,0.2229065598668438,0.11267550505483398,0.052626236851998416
WKU,1443,0.4490596535143847,0.1691037311783321,0.06386229005455142,0.023638307419676367
